r1bqk1nr/pppp1ppp/2n5/4p3/1bB1P3/5N2/P1PP1PPP/RNBQK2R w KQkq - 0 1,"['c2c3', 'e1h1']","[475, 8]"
r1bqk1nr/pppp1ppp/2n5/4p3/1bB1P3/2P2N2/P2P1PPP/RNBQK2R b KQkq - 0 1,"['b4a5', 'b4d6', 'b4c5', 'b4f8', 'b4e7']","[251, 7, 168, 1, 48]"
rnbqkbnr/pp1ppppp/8/2p5/2B1P3/8/PPPP1PPP/RNBQK1NR b KQkq - 0 1,"['a7a6', 'b8c6', 'e7e6']","[1, 4, 5]"
rnbqkbnr/1p1ppppp/p7/2p5/2B1P3/8/PPPP1PPP/RNBQK1NR w KQkq - 0 1,['a2a4'],[1]
rnbqkbnr/1p1ppppp/p7/2p5/P1B1P3/8/1PPP1PPP/RNBQK1NR b KQkq a3 0 1,['b8c6'],[1]
r1bqkbnr/1p1ppppp/p1n5/2p5/P1B1P3/8/1PPP1PPP/RNBQK1NR w KQkq - 0 1,['b1c3'],[1]
r1bqkbnr/1p1ppppp/p1n5/2p5/P1B1P3/2N5/1PPP1PPP/R1BQK1NR b KQkq - 0 1,['e7e6'],[1]
r1bqkbnr/1p1p1ppp/p1n1p3/2p5/P1B1P3/2N5/1PPP1PPP/R1BQK1NR w KQkq - 0 1,['d2d3'],[3]
r1bqkbnr/1p1p1ppp/p1n1p3/2p5/P1B1P3/2NP4/1PP2PPP/R1BQK1NR b KQkq - 0 1,"['g7g6', 'g8e7', 'g8f6']","[1, 1, 1]"
rnbqkbnr/pp1ppppp/8/2p5/4PP2/8/PPPP2PP/RNBQKBNR b KQkq f3 0 1,"['b8c6', 'd7d5', 'e7e6', 'g7g6', 'g8f6', 'e7e5', 'd7d6', 'b7b6']","[10, 17, 16, 17, 5, 2, 3, 1]"
r1bqkbnr/pp1ppppp/2n5/2p5/4PP2/8/PPPP2PP/RNBQKBNR w KQkq - 0 1,"['g1f3', 'b1c3']","[9, 1]"
r1bqkbnr/pp1ppppp/2n5/2p5/4PP2/5N2/PPPP2PP/RNBQKB1R b KQkq - 0 1,"['e7e6', 'g7g6']","[12, 5]"
r1bqkbnr/pp1p1ppp/2n1p3/2p5/4PP2/5N2/PPPP2PP/RNBQKB1R w KQkq - 0 1,"['f1b5', 'b1c3', 'd2d4', 'd2d3', 'c2c3']","[5, 4, 1, 1, 1]"
r1bqkbnr/pp1p1ppp/2n1p3/1Bp5/4PP2/5N2/PPPP2PP/RNBQK2R b KQkq - 0 1,"['c6e7', 'g8e7']","[1, 4]"
r1bqkbnr/pp1pnppp/4p3/1Bp5/4PP2/5N2/PPPP2PP/RNBQK2R w KQkq - 0 1,['c2c4'],[1]
r1bqkbnr/pp1pnppp/4p3/1Bp5/2P1PP2/5N2/PP1P2PP/RNBQK2R b KQkq c3 0 1,['f7f5'],[1]
rnbqkbnr/pp1ppppp/8/2p5/4P3/1P6/P1PP1PPP/RNBQKBNR b KQkq - 0 1,"['b8c6', 'e7e6', 'd7d6', 'g7g6', 'b7b6', 'g8f6', 'd7d5', 'a7a6']","[42, 19, 18, 10, 18, 2, 1, 2]"
r1bqkbnr/pp1ppppp/2n5/2p5/4P3/1P6/P1PP1PPP/RNBQKBNR w KQkq - 0 1,['c1b2'],[42]
r1bqkbnr/pp1ppppp/2n5/2p5/4P3/1P6/PBPP1PPP/RN1QKBNR b KQkq - 0 1,"['e7e6', 'a7a6', 'g8f6', 'd7d6', 'e7e5', 'd7d5']","[3, 13, 10, 14, 6, 1]"
r1bqkbnr/pp1p1ppp/2n1p3/2p5/4P3/1P6/PBPP1PPP/RN1QKBNR w KQkq - 0 1,"['g1f3', 'f2f4', 'f1b5', 'g1e2']","[3, 1, 1, 1]"
r1bqkbnr/pp1p1ppp/2n1p3/2p5/4P3/1P3N2/PBPP1PPP/RN1QKB1R b KQkq - 0 1,"['d7d6', 'a7a6', 'g8f6', 'b7b6', 'g8e7']","[16, 6, 5, 2, 2]"
r1bqkbnr/pp3ppp/2npp3/2p5/4P3/1P3N2/PBPP1PPP/RN1QKB1R w KQkq - 0 1,"['d2d4', 'g2g3', 'f1b5']","[15, 1, 2]"
r1bqkbnr/pp3ppp/2npp3/2p5/3PP3/1P3N2/PBP2PPP/RN1QKB1R b KQkq d3 0 1,['c5d4'],[15]
r1bqkbnr/pp1ppppp/2n5/2p5/2B1P3/8/PPPP1PPP/RNBQK1NR w KQkq - 0 1,"['b1c3', 'g1f3']","[3, 1]"
r1bqkbnr/pp1ppppp/2n5/2p5/2B1P3/2N5/PPPP1PPP/R1BQK1NR b KQkq - 0 1,"['e7e6', 'g8f6', 'g7g6']","[3, 1, 1]"
r1bqkbnr/pp1p1ppp/2n1p3/2p5/2B1P3/2N5/PPPP1PPP/R1BQK1NR w KQkq - 0 1,"['d2d3', 'g1f3']","[4, 1]"
r1bqkbnr/pp1p1ppp/2n1p3/2p5/2B1P3/2NP4/PPP2PPP/R1BQK1NR b KQkq - 0 1,"['c6e5', 'g8e7', 'd7d6']","[1, 2, 1]"
r1bqkbnr/pp1p1ppp/4p3/2p1n3/2B1P3/2NP4/PPP2PPP/R1BQK1NR w KQkq - 0 1,['c1f4'],[1]
r1bqkbnr/pp1p1ppp/4p3/2p1n3/2B1PB2/2NP4/PPP2PPP/R2QK1NR b KQkq - 0 1,['e5c4'],[1]
rnbqkbnr/pppppppp/8/8/2P5/8/PP1PPPPP/RNBQKBNR b KQkq c3 0 1,"['e7e6', 'f7f5', 'e7e5', 'c7c5', 'g8f6', 'c7c6', 'g7g6', 'b7b6', 'b8c6', 'd7d6', 'd7d5', 'g7g5']","[1728, 125, 2748, 1711, 4157, 733, 944, 96, 8, 18, 5, 1]"
